Material,Value,Category,Unit
Kamień naturalny do wnętrz,30.30,Wykończenia,m2
Marmur,15.59,Wykończenia,m2
Mikrocement do wnętrz,1351.875,Wykończenia,m3
Okładzina imitująca kamień,26.14,Wykończenia,m2
Panele do sufitu podwieszanego,3.869,Wykończenia,m2
Panele podłogowe laminowane,-2.654,Wykończenia,m2
Panele podłogowe winylowe,13.92,Wykończenia,m2
Parkiet drewniany,-13.64,Wykończenia,m2
Płytki ceramiczne do wnętrz,13.3,Wykończenia,m2
Tynk,151,Wykończenia,m3
Asfalt wylewany,245.52,Wykończenia zewnętrzne,m3
Betonowe kostki brukowe,21.8,Wykończenia zewnętrzne,m2
Betonowe płyty chodnikowe,26.3,Wykończenia zewnętrzne,m2
Blacha trapezowa,64.4,Wykończenia zewnętrzne,m2
Dachówka betonowa,387.75,Wykończenia zewnętrzne,m3
Dachówka ceramiczna,12.33,Wykończenia zewnętrzne,m2
Gont bitumiczny,4.7,Wykończenia zewnętrzne,m2
Kamień naturalny,30.97,Wykończenia zewnętrzne,m2
Łupek dachowy,15.39,Wykończenia zewnętrzne,m2
Marmur,15.59,Wykończenia zewnętrzne,m2
Papa dachowa,3.25,Wykończenia zewnętrzne,m2
Płyty elewacyjne włókno-cementowe,6.949,Wykończenia zewnętrzne,m3
