Material,Value,Category,Unit
Brama garażowa segmentowa,246.11,Inne,szt
Drzwi drewniane wewnętrzne,-46.683,Inne,szt
Drzwi wejściowe z aluminium,231,Inne,szt
Drzwi wejściowe z drewna,-7.8246,szt
Drzwi wejściowe z PCW,226.6,Inne,szt
Hydroizolacja bitumiczna,0.3563,Inne,kg
Kruszywo kamienne,36.882,Inne,m3
Membrana dachowa (wiatro lub paroszczelna),0.6969,Inne,m2
Membrana EPDM,8.35,Inne,m2
Okno połaciowe z drewna (trójszybowe),114.3,Inne,m2
Okno połaciowe z PCW (trójszybowe),137.3,Inne,m2
Panele fotowoltaiczne (1000 kWh/m²),302.3,Inne,m2
Płyta gipsowo-kartonowa (g-k),1.014,Inne,m2
Płyta gipsowo-włóknowe,4.027,Inne,m2
Płyta HDF,-103,Inne,m3
Płyta MDF,-11.08,Inne,m2
Siatka zbrojeniowa do ociepleń,13.39,Inne,m2
Sklejka,-917.5,Inne,m3
Suchy jastrych,7.344,Inne,m2
Suchy piasek,44.334,Inne,m3
Suchy żwir,60.754,Inne,m3
